,Titles,Links,Abstracts
401,"EEG-GRAPH: A Factor-Graph-Based Model for Capturing Spatial, Temporal, and Observational Relationships in Electroencephalograms","https://nips.cc/Conferences/2017/Schedule?showEvent=9312
",
402,Asynchronous Parallel Coordinate Minimization for MAP Inference,"https://nips.cc/Conferences/2017/Schedule?showEvent=9347
",
403,Speeding Up Latent Variable Gaussian Graphical Model Estimation via Nonconvex Optimization,"https://nips.cc/Conferences/2017/Schedule?showEvent=8982
",
404,The Expxorcist: Nonparametric Graphical Models Via Conditional Exponential Densities,"https://nips.cc/Conferences/2017/Schedule?showEvent=9222
",
405,Reducing Reparameterization Gradient Variance,"https://nips.cc/Conferences/2017/Schedule?showEvent=9153
",
406,Robust Conditional Probabilities,"https://nips.cc/Conferences/2017/Schedule?showEvent=9406
",
407,Stein Variational Gradient Descent as Gradient Flow,"https://nips.cc/Conferences/2017/Schedule?showEvent=9096
",
408,Parallel Streaming Wasserstein Barycenters,"https://nips.cc/Conferences/2017/Schedule?showEvent=9051
",
409,AIDE: An algorithm for measuring the accuracy of probabilistic inference algorithms,"https://nips.cc/Conferences/2017/Schedule?showEvent=9085
",
410,Deep Dynamic Poisson Factorization Model,"https://nips.cc/Conferences/2017/Schedule?showEvent=8957
",
411,On the Model Shrinkage Effect of Gamma Process Edge Partition Models,"https://nips.cc/Conferences/2017/Schedule?showEvent=8836
",
412,Model evidence from nonequilibrium simulations,"https://nips.cc/Conferences/2017/Schedule?showEvent=8965
",
413,A-NICE-MC: Adversarial Training for MCMC,"https://nips.cc/Conferences/2017/Schedule?showEvent=9290
",
414,Identification of Gaussian Process State Space Models,"https://nips.cc/Conferences/2017/Schedule?showEvent=9306
",
415,Streaming Sparse Gaussian Process Approximations,"https://nips.cc/Conferences/2017/Schedule?showEvent=9114
",
416,Bayesian Optimization with Gradients,"https://nips.cc/Conferences/2017/Schedule?showEvent=9302
",
417,Variational Inference for Gaussian Process Models with Linear Complexity,"https://nips.cc/Conferences/2017/Schedule?showEvent=9294
",
418,Efficient Modeling of Latent Information in Supervised Learning using Gaussian Processes,"https://nips.cc/Conferences/2017/Schedule?showEvent=9289
",
419,Non-Stationary Spectral Kernels,"https://nips.cc/Conferences/2017/Schedule?showEvent=9241
",
420,Scalable Log Determinants for Gaussian Process Kernel Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9403
",
421,Spectral Mixture Kernels for Multi-Output Gaussian Processes,"https://nips.cc/Conferences/2017/Schedule?showEvent=9436
",
422,Linearly constrained Gaussian processes,"https://nips.cc/Conferences/2017/Schedule?showEvent=8914
",
423,Hindsight Experience Replay,"https://nips.cc/Conferences/2017/Schedule?showEvent=9281
",
424,Log-normality and Skewness of Estimated State/Action Values in Reinforcement Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=8970
",
425,Finite sample analysis of the GTD Policy Evaluation Algorithms in Markov Setting,"https://nips.cc/Conferences/2017/Schedule?showEvent=9325
",
426,Inverse Filtering for Hidden Markov Models,"https://nips.cc/Conferences/2017/Schedule?showEvent=9200
",
427,Safe Model-based Reinforcement Learning with Stability Guarantees,"https://nips.cc/Conferences/2017/Schedule?showEvent=8885
",
428,Data-Efficient Reinforcement Learning in Continuous State-Action Gaussian-POMDPs,"https://nips.cc/Conferences/2017/Schedule?showEvent=8992
",
429,Linear regression without correspondence,"https://nips.cc/Conferences/2017/Schedule?showEvent=8944
",
430,On the Complexity of Learning Neural Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=9326
",
431,Near Optimal Sketching of Low-Rank Tensor Regression,"https://nips.cc/Conferences/2017/Schedule?showEvent=9130
",
432,Is Input Sparsity Time Possible for Kernel Low-Rank Approximation?,"https://nips.cc/Conferences/2017/Schedule?showEvent=9221
",
433,Higher-Order Total Variation Classes on Grids: Minimax Theory and Trend Filtering Methods,"https://nips.cc/Conferences/2017/Schedule?showEvent=9353
",
434,Alternating Estimation for Structured High-Dimensional Multi-Response Models,"https://nips.cc/Conferences/2017/Schedule?showEvent=9068
",
435,Adaptive Clustering through Semidefinite Programming,"https://nips.cc/Conferences/2017/Schedule?showEvent=8969
",
436,Eigenvalue Decay Implies Polynomial-Time Learnability for Neural Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=9007
",
437,Learning with Average Top-k Loss,"https://nips.cc/Conferences/2017/Schedule?showEvent=8846
",
438,Hierarchical Clustering Beyond the Worst-Case,"https://nips.cc/Conferences/2017/Schedule?showEvent=9391
",
439,Net-Trim: Convex Pruning of Deep Neural Networks with Performance Guarantee,"https://nips.cc/Conferences/2017/Schedule?showEvent=9102
",
440,A graph-theoretic approach to multitasking,"https://nips.cc/Conferences/2017/Schedule?showEvent=8998
",
441,Information-theoretic analysis of generalization capability of learning algorithms,"https://nips.cc/Conferences/2017/Schedule?showEvent=9039
",
442,Independence clustering (without a matrix),"https://nips.cc/Conferences/2017/Schedule?showEvent=9182
",
443,Polynomial Codes: an Optimal Design for High-Dimensional Coded Matrix Multiplication,"https://nips.cc/Conferences/2017/Schedule?showEvent=9219
",
444,Estimating Mutual Information for Discrete-Continuous Mixtures,"https://nips.cc/Conferences/2017/Schedule?showEvent=9371
",
445,Best Response Regression,"https://nips.cc/Conferences/2017/Schedule?showEvent=8941
",
446,Statistical Cost Sharing,"https://nips.cc/Conferences/2017/Schedule?showEvent=9393
",
447,A Sample Complexity Measure with Applications to Learning Optimal Auctions,"https://nips.cc/Conferences/2017/Schedule?showEvent=9310
",
448,"Multiplicative Weights Update with Constant Step-Size in Congestion Games:  Convergence, Limit Cycles and Chaos","https://nips.cc/Conferences/2017/Schedule?showEvent=9360
",
449,Welfare Guarantees from Data,"https://nips.cc/Conferences/2017/Schedule?showEvent=9159
",
450,Safe and Nested Subgame Solving for Imperfect-Information Games,"https://nips.cc/Conferences/2017/Schedule?showEvent=8864
",
451,Multi-output Polynomial Networks and Factorization Machines,"https://nips.cc/Conferences/2017/Schedule?showEvent=9119
",
452,Active Bias: Training More Accurate Neural Networks by Emphasizing High Variance Samples,"https://nips.cc/Conferences/2017/Schedule?showEvent=8894
",
453,Deep Reinforcement Learning from Human Preferences,"https://nips.cc/Conferences/2017/Schedule?showEvent=9209
",
454,Multi-Modal Imitation Learning from Unstructured Demonstrations using Generative Adversarial Nets,"https://nips.cc/Conferences/2017/Schedule?showEvent=8916
",
455,EX2: Exploration with Exemplar Models for Deep Reinforcement Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9044
",
456,#Exploration: A Study of Count-Based Exploration for Deep Reinforcement Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9061
",
457,Thinking Fast and Slow with Deep Learning and Tree Search,"https://nips.cc/Conferences/2017/Schedule?showEvent=9311
",
458,Natural Value Approximators: Learning when to Trust Past Estimates,"https://nips.cc/Conferences/2017/Schedule?showEvent=9000
",
459,Active Exploration for Learning Symbolic Representations,"https://nips.cc/Conferences/2017/Schedule?showEvent=9277
",
460,State Aware Imitation Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9076
",
461,Successor Features for Transfer in Reinforcement Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9186
",
462,Bridging the Gap Between Value and Policy Based Reinforcement Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9063
",
463,Using Options and Covariance Testing for Long Horizon Off-Policy Policy Evaluation,"https://nips.cc/Conferences/2017/Schedule?showEvent=9036
",
464,Compatible Reward Inverse Reinforcement Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=8993
",
465,Adaptive Batch Size for Safe Policy Gradients,"https://nips.cc/Conferences/2017/Schedule?showEvent=9142
",
466,Regret Minimization in MDPs with Options without Prior Knowledge,"https://nips.cc/Conferences/2017/Schedule?showEvent=9101
",
467,Is the Bellman residual a bad proxy?,"https://nips.cc/Conferences/2017/Schedule?showEvent=9105
",
468,Learning Unknown Markov Decision Processes: A Thompson Sampling Approach,"https://nips.cc/Conferences/2017/Schedule?showEvent=8925
",
469,Online Reinforcement Learning in Stochastic Games,"https://nips.cc/Conferences/2017/Schedule?showEvent=9275
",
470,Reinforcement Learning under Model Mismatch,"https://nips.cc/Conferences/2017/Schedule?showEvent=9089
",
471,Zap Q-Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9011
",
472,Ensemble Sampling,"https://nips.cc/Conferences/2017/Schedule?showEvent=9110
",
473,Action Centered Contextual Bandits,"https://nips.cc/Conferences/2017/Schedule?showEvent=9370
",
474,Conservative Contextual Linear Bandits,"https://nips.cc/Conferences/2017/Schedule?showEvent=9172
",
475,Rotting Bandits,"https://nips.cc/Conferences/2017/Schedule?showEvent=9092
",
476,Identifying Outlier Arms in Multi-Armed Bandit,"https://nips.cc/Conferences/2017/Schedule?showEvent=9296
",
477,Multi-Task Learning for Contextual Bandits,"https://nips.cc/Conferences/2017/Schedule?showEvent=9261
",
478,Boltzmann Exploration Done Right,"https://nips.cc/Conferences/2017/Schedule?showEvent=9399
",
479,Improving the Expected Improvement Algorithm,"https://nips.cc/Conferences/2017/Schedule?showEvent=9313
",
480,A KL-LUCB algorithm for Large-Scale Crowdsourcing,"https://nips.cc/Conferences/2017/Schedule?showEvent=9362
",
481,Scalable Generalized Linear Bandits: Online Computation and Hashing,"https://nips.cc/Conferences/2017/Schedule?showEvent=8808
",
482,Bandits Dueling on Partially Ordered Sets,"https://nips.cc/Conferences/2017/Schedule?showEvent=9001
",
483,Position-based Multiple-play Bandit Problem with Unknown Position Bias,"https://nips.cc/Conferences/2017/Schedule?showEvent=9276
",
484,Online Influence Maximization under Independent Cascade Model with Semi-Bandit Feedback,"https://nips.cc/Conferences/2017/Schedule?showEvent=9087
",
485,A Scale Free Algorithm for Stochastic Bandits with Bounded Kurtosis,"https://nips.cc/Conferences/2017/Schedule?showEvent=8949
",
486,Adaptive Active Hypothesis Testing under Limited Information,"https://nips.cc/Conferences/2017/Schedule?showEvent=9184
",
487,Near-Optimal Edge Evaluation in Explicit Generalized Binomial Graphs,"https://nips.cc/Conferences/2017/Schedule?showEvent=9240
",
488,Robust and Efficient Transfer Learning with Hidden Parameter Markov Decision Processes,"https://nips.cc/Conferences/2017/Schedule?showEvent=9396
",
489,Overcoming Catastrophic Forgetting by Incremental Moment Matching,"https://nips.cc/Conferences/2017/Schedule?showEvent=9242
",
490,Hypothesis Transfer Learning via Transformation Functions,"https://nips.cc/Conferences/2017/Schedule?showEvent=8853
",
491,Learning multiple visual domains with residual adapters,"https://nips.cc/Conferences/2017/Schedule?showEvent=8847
",
492,Self-supervised Learning of Motion Capture,"https://nips.cc/Conferences/2017/Schedule?showEvent=9299
",
493,"Information Theoretic Properties of Markov Random Fields, and their Algorithmic Applications","https://nips.cc/Conferences/2017/Schedule?showEvent=9033
",
494,Maximizing Subset Accuracy with Recurrent Neural Networks in Multi-label Classification,"https://nips.cc/Conferences/2017/Schedule?showEvent=9316
",
495,Local Aggregative Games,"https://nips.cc/Conferences/2017/Schedule?showEvent=9309
",
496,An Empirical Bayes Approach to Optimizing Machine Learning Algorithms,"https://nips.cc/Conferences/2017/Schedule?showEvent=9057
",
497,Learning Chordal Markov Networks via Branch and Bound,"https://nips.cc/Conferences/2017/Schedule?showEvent=8974
",
498,Optimal Sample Complexity of M-wise Data for Top-K Ranking,"https://nips.cc/Conferences/2017/Schedule?showEvent=8959
",
499,Translation Synchronization via Truncated Least Squares,"https://nips.cc/Conferences/2017/Schedule?showEvent=8937
",
500,From Bayesian Sparsity to Gated Recurrent Nets,"https://nips.cc/Conferences/2017/Schedule?showEvent=9330
",
501,Online Learning for Multivariate Hawkes Processes,"https://nips.cc/Conferences/2017/Schedule?showEvent=9270
",
502,Efficient Second-Order Online Kernel Learning with Adaptive Embedding,"https://nips.cc/Conferences/2017/Schedule?showEvent=9385
",
503,"Online to Offline Conversions, Universality and Adaptive Minibatch Sizes","https://nips.cc/Conferences/2017/Schedule?showEvent=8952
",
504,Nonparametric Online Regression while Learning the Metric,"https://nips.cc/Conferences/2017/Schedule?showEvent=8862
",
505,Stochastic and Adversarial Online Learning without Hyperparameters,"https://nips.cc/Conferences/2017/Schedule?showEvent=9282
",
506,Affine-Invariant Online Optimization and the Low-rank Experts Problem,"https://nips.cc/Conferences/2017/Schedule?showEvent=9251
",
507,Online Convex Optimization with Stochastic Constraints,"https://nips.cc/Conferences/2017/Schedule?showEvent=8934
",
508,Online Learning with a Hint,"https://nips.cc/Conferences/2017/Schedule?showEvent=9305
",
509,Efficient Online Linear Optimization with Approximation Algorithms,"https://nips.cc/Conferences/2017/Schedule?showEvent=8858
",
510,Random Permutation Online Isotonic Regression,"https://nips.cc/Conferences/2017/Schedule?showEvent=9198
",
511,Near Minimax Optimal Players for the Finite-Time 3-Expert Prediction Problem,"https://nips.cc/Conferences/2017/Schedule?showEvent=9088
",
512,Online Learning of Optimal Bidding Strategy in Repeated Multi-Commodity Auctions,"https://nips.cc/Conferences/2017/Schedule?showEvent=9228
",
513,Online Prediction with Selfish Experts,"https://nips.cc/Conferences/2017/Schedule?showEvent=8922
",
514,Real-Time Bidding with Side Information,"https://nips.cc/Conferences/2017/Schedule?showEvent=9292
",
515,Improving Regret Bounds for Combinatorial Semi-Bandits with Probabilistically Triggered Arms and Its Applications,"https://nips.cc/Conferences/2017/Schedule?showEvent=8909
",
516,A General Framework for Robust Interactive Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9474
",
517,Practical Locally Private Heavy Hitters,"https://nips.cc/Conferences/2017/Schedule?showEvent=9016
",
518,Deanonymization in the Bitcoin P2P Network,"https://nips.cc/Conferences/2017/Schedule?showEvent=8928
",
519,Accuracy First: Selecting a Differential Privacy Level for Accuracy Constrained ERM,"https://nips.cc/Conferences/2017/Schedule?showEvent=9043
",
520,Renyi Differential Privacy Mechanisms for Posterior Sampling,"https://nips.cc/Conferences/2017/Schedule?showEvent=9304
",
521,Collecting Telemetry Data Privately,"https://nips.cc/Conferences/2017/Schedule?showEvent=9140
",
522,Generating steganographic images via adversarial training,"https://nips.cc/Conferences/2017/Schedule?showEvent=8984
",
523,Fitting Low-Rank Tensors in Constant Time,"https://nips.cc/Conferences/2017/Schedule?showEvent=9034
",
524,Thy Friend is My Friend: Iterative Collaborative Filtering for Sparse Matrix Estimation,"https://nips.cc/Conferences/2017/Schedule?showEvent=9248
",
525,Fair Clustering Through Fairlets,"https://nips.cc/Conferences/2017/Schedule?showEvent=9279
",
526,On Fairness and Calibration,"https://nips.cc/Conferences/2017/Schedule?showEvent=9342
",
527,Avoiding Discrimination through Causal Reasoning,"https://nips.cc/Conferences/2017/Schedule?showEvent=8861
",
528,Optimized Pre-Processing for Discrimination Prevention,"https://nips.cc/Conferences/2017/Schedule?showEvent=9180
",
529,Recycling Privileged Learning and Distribution Matching for Fairness,"https://nips.cc/Conferences/2017/Schedule?showEvent=8863
",
530,From Parity to Preference-based Notions of Fairness in Classification,"https://nips.cc/Conferences/2017/Schedule?showEvent=8820
",
531,Beyond Parity: Fairness Objectives for Collaborative Filtering,"https://nips.cc/Conferences/2017/Schedule?showEvent=9077
",
532,Multi-view Matrix Factorization for Linear Dynamical System Estimation,"https://nips.cc/Conferences/2017/Schedule?showEvent=9475
",
533,Random Projection Filter Bank for Time Series Data,"https://nips.cc/Conferences/2017/Schedule?showEvent=9425
",
534,A Dirichlet Mixture Model of Hawkes Processes for Event Sequence Clustering,"https://nips.cc/Conferences/2017/Schedule?showEvent=8927
",
535,Predicting User Activity Level In Point Processes With Mass Transport Equation,"https://nips.cc/Conferences/2017/Schedule?showEvent=8955
",
536,Off-policy evaluation for slate recommendation,"https://nips.cc/Conferences/2017/Schedule?showEvent=9146
",
537,Expectation Propagation with Stochastic Kinetic Model in Complex Interaction Systems,"https://nips.cc/Conferences/2017/Schedule?showEvent=8991
",
538,A multi-agent reinforcement learning model of common-pool resource appropriation,"https://nips.cc/Conferences/2017/Schedule?showEvent=9147
",
539,Balancing information exposure in social networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=9243
",
540,Scalable Demand-Aware Recommendation,"https://nips.cc/Conferences/2017/Schedule?showEvent=9028
",
541,A Greedy Approach for Budgeted Maximum Inner Product Search,"https://nips.cc/Conferences/2017/Schedule?showEvent=9320
",
542,DPSCREEN: Dynamic Personalized Screening,"https://nips.cc/Conferences/2017/Schedule?showEvent=8924
",
543,Deep Multi-task Gaussian Processes for Survival Analysis with Competing Risks,"https://nips.cc/Conferences/2017/Schedule?showEvent=9020
",
544,Premise Selection for Theorem Proving by Deep Graph Embedding,"https://nips.cc/Conferences/2017/Schedule?showEvent=9064
",
545,Gradients of Generative Models for Improved Discriminative Analysis of Tandem Mass Spectra,"https://nips.cc/Conferences/2017/Schedule?showEvent=9346
",
546,Style Transfer from Non-Parallel Text by Cross-Alignment,"https://nips.cc/Conferences/2017/Schedule?showEvent=9450
",
547,Emergence of Language with Multi-agent Games: Learning to Communicate with Sequences of Symbols,"https://nips.cc/Conferences/2017/Schedule?showEvent=9003
",
548,"ELF: An Extensive, Lightweight and Flexible Research Platform for Real-time Strategy Games","https://nips.cc/Conferences/2017/Schedule?showEvent=9052
",
549,"ExtremeWeather: A large-scale climate dataset for semi-supervised detection, localization, and understanding of extreme weather events","https://nips.cc/Conferences/2017/Schedule?showEvent=9124
",
550,Approximation and Convergence Properties of Generative Adversarial Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9329
",
551,Gradient descent GAN optimization is locally stable,"https://nips.cc/Conferences/2017/Schedule?showEvent=9333
",
552,f-GANs in an Information Geometric Nutshell,"https://nips.cc/Conferences/2017/Schedule?showEvent=8842
",
553,The Numerics of GANs,"https://nips.cc/Conferences/2017/Schedule?showEvent=8972
",
554,Generalizing GANs: A Turing Perspective,"https://nips.cc/Conferences/2017/Schedule?showEvent=9402
",
555,Dualing GANs,"https://nips.cc/Conferences/2017/Schedule?showEvent=9335
",
556,Fisher GAN,"https://nips.cc/Conferences/2017/Schedule?showEvent=9038
",
557,Learning to Pivot with Adversarial Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=8892
",
558,Improved Training of Wasserstein GANs,"https://nips.cc/Conferences/2017/Schedule?showEvent=9350
",
559,MMD GAN: Towards Deeper Understanding of Moment Matching Network,"https://nips.cc/Conferences/2017/Schedule?showEvent=9008
",
560,GANs Trained by a Two Time-Scale Update Rule Converge to a Local Nash Equilibrium,"https://nips.cc/Conferences/2017/Schedule?showEvent=9431
",
561,VEEGAN: Reducing Mode Collapse in GANs using Implicit Variational Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9115
",
562,Semi-supervised Learning with GANs: Manifold Invariance with Improved Inference,"https://nips.cc/Conferences/2017/Schedule?showEvent=9328
",
563,Good Semi-supervised Learning That Requires a Bad GAN,"https://nips.cc/Conferences/2017/Schedule?showEvent=9420
",
564,Bayesian GAN,"https://nips.cc/Conferences/2017/Schedule?showEvent=9145
",
565,Dual Discriminator Generative Adversarial Nets,"https://nips.cc/Conferences/2017/Schedule?showEvent=9053
",
566,ALICE: Towards Understanding Adversarial Learning for Joint Distribution Matching,"https://nips.cc/Conferences/2017/Schedule?showEvent=9324
",
567,Triple Generative Adversarial Nets,"https://nips.cc/Conferences/2017/Schedule?showEvent=9189
",
568,Triangle Generative Adversarial Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=9300
",
569,Structured Generative Adversarial Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=9171
",
570,PixelGAN Autoencoders,"https://nips.cc/Conferences/2017/Schedule?showEvent=8986
",
571,Learning to Compose Domain-Specific Transformations for Data Augmentation,"https://nips.cc/Conferences/2017/Schedule?showEvent=9108
",
572,Unsupervised Image-to-Image Translation Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=8865
",
573,Controllable Invariance through Adversarial Feature Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=8854
",
574,Adversarial Ranking for Language Generation,"https://nips.cc/Conferences/2017/Schedule?showEvent=9100
",
575,Linear Time Computation of Moments in Sum-Product Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=9456
",
576,Attention is All you Need,"https://nips.cc/Conferences/2017/Schedule?showEvent=9372
",
577,Masked Autoregressive Flow for Density Estimation,"https://nips.cc/Conferences/2017/Schedule?showEvent=9021
",
578,Variational Walkback: Learning a Transition Operator as a Stochastic Recurrent Net,"https://nips.cc/Conferences/2017/Schedule?showEvent=9218
",
579,TernGrad: Ternary Gradients to Reduce Communication in Distributed Deep Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=8942
",
580,End-to-End Differentiable Proving,"https://nips.cc/Conferences/2017/Schedule?showEvent=9161
",
581,A simple neural network module for relational reasoning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9273
",
582,Dual Path Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=9224
",
583,Spherical convolutions and their application in molecular modelling,"https://nips.cc/Conferences/2017/Schedule?showEvent=9127
",
584,Deep Sets,"https://nips.cc/Conferences/2017/Schedule?showEvent=9123
",
585,Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles,"https://nips.cc/Conferences/2017/Schedule?showEvent=9410
",
586,Self-Normalizing Neural Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=8891
",
587,Batch Renormalization: Towards Reducing Minibatch Dependence in Batch-Normalized Models,"https://nips.cc/Conferences/2017/Schedule?showEvent=8983
",
588,"Train longer, generalize better: closing the generalization gap in large batch training of neural networks","https://nips.cc/Conferences/2017/Schedule?showEvent=8963
",
589,Nonlinear random matrix theory for deep learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9050
",
590,Distral: Robust multitask reinforcement learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9227
",
591,Imagination-Augmented Agents for Deep Reinforcement Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9343
",
592,Scalable trust-region method for deep reinforcement learning using Kronecker-factored approximation,"https://nips.cc/Conferences/2017/Schedule?showEvent=9303
",
593,Learning Combinatorial Optimization Algorithms over Graphs,"https://nips.cc/Conferences/2017/Schedule?showEvent=9405
",
594,Targeting EEG/LFP Synchrony with Neural Nets,"https://nips.cc/Conferences/2017/Schedule?showEvent=9239
",
595,Toward Goal-Driven Neural Network Models for the Rodent Whisker-Trigeminal System,"https://nips.cc/Conferences/2017/Schedule?showEvent=9042
",
596,Fast amortized inference of neural activity from calcium imaging data with variational autoencoders,"https://nips.cc/Conferences/2017/Schedule?showEvent=9183
",
597,Learning to See Physics via Visual De-animation,"https://nips.cc/Conferences/2017/Schedule?showEvent=8813
",
598,Shape and Material from Sound,"https://nips.cc/Conferences/2017/Schedule?showEvent=8920
",
599,Neural Networks for Efficient Bayesian Decoding of Natural Images from Retinal Neurons,"https://nips.cc/Conferences/2017/Schedule?showEvent=9413
",
600,Quantifying how much sensory information in a neural code is relevant for behavior,"https://nips.cc/Conferences/2017/Schedule?showEvent=9151
",
601,Model-based Bayesian inference of neural activity and connectivity from all-optical interrogation of a neural circuit,"https://nips.cc/Conferences/2017/Schedule?showEvent=9132
",
602,Deep Hyperalignment,"https://nips.cc/Conferences/2017/Schedule?showEvent=8951
",
603,Unified representation of tractography and diffusion-weighted MRI data using sparse multidimensional arrays,"https://nips.cc/Conferences/2017/Schedule?showEvent=9213
",
604,Online Dynamic Programming,"https://nips.cc/Conferences/2017/Schedule?showEvent=9476
",
605,Unsupervised Learning of Disentangled Representations from Video,"https://nips.cc/Conferences/2017/Schedule?showEvent=9477
",
606,Interactive Submodular Bandit,"https://nips.cc/Conferences/2017/Schedule?showEvent=8812
",
607,Streaming Robust Submodular Maximization: A Partitioned Thresholding Approach,"https://nips.cc/Conferences/2017/Schedule?showEvent=9233
",
608,Minimizing a Submodular Function from Samples,"https://nips.cc/Conferences/2017/Schedule?showEvent=8876
",
609,Process-constrained batch Bayesian optimisation,"https://nips.cc/Conferences/2017/Schedule?showEvent=9125
",
610,The Marginal Value of Adaptive Gradient Methods in Machine Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9195
",
611,Breaking the Nonsmooth Barrier: A Scalable Parallel Method for Composite Optimization,"https://nips.cc/Conferences/2017/Schedule?showEvent=8804
",
612,Beyond Worst-case: A Probabilistic Analysis of Affine Policies in Dynamic Optimization,"https://nips.cc/Conferences/2017/Schedule?showEvent=9252
",
613,Approximate Supermodularity Bounds for Experimental Design,"https://nips.cc/Conferences/2017/Schedule?showEvent=9315
",
614,On Blackbox Backpropagation and Jacobian Sensing,"https://nips.cc/Conferences/2017/Schedule?showEvent=9421
",
615,Asynchronous Coordinate Descent under More Realistic Assumptions,"https://nips.cc/Conferences/2017/Schedule?showEvent=9389
",
616,Clustering with Noisy Queries,"https://nips.cc/Conferences/2017/Schedule?showEvent=9352
",
617,Approximation Algorithms for $\ell_0$-Low Rank Approximation,"https://nips.cc/Conferences/2017/Schedule?showEvent=9433
",
618,Convergence Analysis of Two-layer Neural Networks with ReLU Activation,"https://nips.cc/Conferences/2017/Schedule?showEvent=8855
",
619,Can Decentralized Algorithms Outperform Centralized Algorithms? A Case Study for Decentralized Parallel Stochastic Gradient Descent,"https://nips.cc/Conferences/2017/Schedule?showEvent=9308
",
620,Decomposition-Invariant Conditional Gradient for General Polytopes with Line Search,"https://nips.cc/Conferences/2017/Schedule?showEvent=9055
",
621,Straggler Mitigation in Distributed Optimization Through Data Encoding,"https://nips.cc/Conferences/2017/Schedule?showEvent=9318
",
622,ADMM without a Fixed Penalty Parameter: Faster Convergence with New Adaptive Penalization,"https://nips.cc/Conferences/2017/Schedule?showEvent=8919
",
623,Accelerated Stochastic Greedy Coordinate Descent by Soft Thresholding Projection onto Simplex,"https://nips.cc/Conferences/2017/Schedule?showEvent=9260
",
624,Safe Adaptive Importance Sampling,"https://nips.cc/Conferences/2017/Schedule?showEvent=9217
",
625,"Sharpness, Restart and Acceleration","https://nips.cc/Conferences/2017/Schedule?showEvent=8905
",
626,Stochastic Optimization with Variance Reduction for Infinite Datasets with Finite Sum Structure,"https://nips.cc/Conferences/2017/Schedule?showEvent=8953
",
627,Min-Max Propagation,"https://nips.cc/Conferences/2017/Schedule?showEvent=9331
",
628,A Disentangled Recognition and Nonlinear Dynamics Model for Unsupervised Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9143
",
629,Concrete Dropout,"https://nips.cc/Conferences/2017/Schedule?showEvent=9141
",
630,"REBAR: Low-variance, unbiased gradient estimates for discrete latent variable models","https://nips.cc/Conferences/2017/Schedule?showEvent=9049
",
631,Hierarchical Implicit Models and Likelihood-Free Variational Inference,"https://nips.cc/Conferences/2017/Schedule?showEvent=9327
",
632,"Sticking the Landing: Simple, Lower-Variance Gradient Estimators for Variational Inference","https://nips.cc/Conferences/2017/Schedule?showEvent=9459
",
633,Perturbative Black Box Variational Inference,"https://nips.cc/Conferences/2017/Schedule?showEvent=9284
",
634,Fast Black-box Variational Inference through Stochastic Trust-Region Optimization,"https://nips.cc/Conferences/2017/Schedule?showEvent=9027
",
635,Excess Risk Bounds for the Bayes Risk using Variational Inference in Latent Gaussian Models,"https://nips.cc/Conferences/2017/Schedule?showEvent=9291
",
636,Experimental Design for Learning Causal Graphs with Latent Variables,"https://nips.cc/Conferences/2017/Schedule?showEvent=9468
",
637,Permutation-based Causal Inference Algorithms with Interventions,"https://nips.cc/Conferences/2017/Schedule?showEvent=9355
",
638,Learning Causal Structures Using Regression Invariance,"https://nips.cc/Conferences/2017/Schedule?showEvent=9086
",
639,Counterfactual Fairness,"https://nips.cc/Conferences/2017/Schedule?showEvent=9187
",
640,Causal Effect Inference with Deep Latent-Variable Models,"https://nips.cc/Conferences/2017/Schedule?showEvent=9414
",
641,Conic Scan-and-Cover algorithms for nonparametric topic modeling,"https://nips.cc/Conferences/2017/Schedule?showEvent=9169
",
